DT,distance(Km),heart,pace
2022-07-11 22:07:31,1.77,174,6:19
2022-07-14 20:00:04,5.68,,7:10
2022-07-14 20:00:05,5.77,142,7:06
2022-07-18 21:31:41,6.47,140,7:11
2022-07-20 21:09:40,6.04,,6:36
2022-07-20 21:09:41,6.17,145,6:32
2022-07-25 21:10:14,5.53,163,6:05
2022-07-28 21:03:37,6.08,155,6:37
2022-07-31 20:28:17,3.04,,12:49
2022-08-01 19:20:54,5.97,,6:43
2022-08-01 19:20:56,6.00,158,6:44
2022-08-04 21:11:03,5.15,154,7:28
2022-08-08 19:33:38,5.72,,6:39
2022-08-08 19:33:39,5.80,160,6:47
2022-08-10 19:40:35,5.09,,6:32
2022-08-10 19:40:36,5.21,155,6:54
2022-08-12 19:38:59,5.73,,6:50
2022-08-12 19:39:00,5.81,144,6:52
2022-08-14 21:14:45,0.94,,13:47
2022-08-15 21:36:40,3.90,,6:10
2022-08-15 21:36:42,3.88,166,6:08
2022-08-18 19:22:51,5.97,,6:27
2022-08-18 19:22:52,6.02,155,6:21
2022-08-22 21:10:26,6.01,140,7:30
2022-08-24 19:28:24,6.06,144,6:57
2022-08-26 19:22:08,6.18,138,6:37
2022-08-27 15:59:20,1.84,,5:37
2022-08-28 19:21:01,3.44,,5:25
2022-08-31 21:04:26,5.62,141,6:12
2022-09-02 18:58:54,5.73,141,6:18
2022-09-05 20:56:25,5.54,,6:25
2022-09-05 20:56:26,5.58,143,6:25
2022-09-07 21:07:58,5.52,,6:39
2022-09-07 21:07:59,5.55,139,6:44
2022-09-12 21:05:23,3.30,,14:05
2022-09-13 18:50:45,5.56,,6:15
2022-09-13 18:50:46,5.61,145,6:16
2022-09-16 18:49:20,5.70,151,5:58
2022-09-19 18:43:03,6.92,141,6:32
2022-09-21 22:33:26,7.01,141,6:38
2022-09-23 18:47:44,6.95,146,6:45
2022-09-24 19:40:32,1.78,,13:41
2022-09-24 22:25:47,0.37,,5:37
2022-09-25 18:58:21,6.83,138,6:39
2022-09-25 18:58:22,6.79,,6:39
2022-09-27 18:58:49,6.75,133,7:01
2022-09-29 18:56:17,3.54,138,6:24
2022-09-29 19:19:44,2.78,146,6:19
2022-10-01 22:33:27,6.48,153,6:25
2022-10-04 00:32:52,5.64,,6:08
2022-10-07 16:56:45,4.94,,6:55
2022-10-08 20:57:26,2.76,,14:46
2022-10-10 19:12:02,9.89,144,6:41
2022-10-12 20:28:57,6.14,137,7:27
2022-10-14 08:37:01,1.69,,5:00
2022-10-14 18:12:58,7.02,,5:37
2022-10-14 20:57:44,9.95,142,6:49
2022-10-16 16:37:15,5.66,,8:28
2022-10-17 19:14:43,6.03,134,7:03
2022-10-19 19:00:31,9.97,162,6:56
2022-10-22 17:20:46,5.65,163,5:53
2022-10-25 20:12:27,6.78,138,7:20
2022-10-30 18:17:45,1.63,,12:47
2022-10-31 21:11:11,5.83,153,6:50
2022-11-02 21:03:25,11.32,135,6:56
2022-11-06 11:06:46,2.22,,11:48
2022-11-07 21:03:29,6.08,135,7:21
2022-11-12 08:23:43,4.76,,4:36
2022-11-12 18:16:22,5.40,,5:02
2022-11-14 21:44:29,6.31,161,6:21
2022-11-16 21:10:56,4.82,142,7:28
2022-11-20 19:23:02,6.11,164,6:29
2022-11-23 18:55:35,3.91,138,7:06
2022-11-24 20:27:58,1.89,,14:33
2022-12-05 20:00:19,6.14,158,6:52
2022-12-11 14:58:21,8.00,104,15:08
2022-12-12 18:58:33,6.16,168,6:20
2022-12-14 20:41:44,2.01,,13:54
2022-12-15 18:50:56,6.14,163,6:32
2022-12-18 15:18:45,3.71,104,14:28
2022-12-18 16:46:44,5.86,172,6:01
2022-12-19 20:22:49,2.51,101,15:04
2022-12-20 21:51:17,0.80,,14:04
2022-12-21 18:28:32,3.95,159,7:21
